product_id,application,type,mounting_location,accessories,model_year
474,indoor,industrial,wall,with light,2022-05-12 19:40:03
475,indoor,residential,free standing,with light,2023-02-11 11:18:51
476,outdoor,residential,wall,with light,2023-02-06 23:22:32
477,indoor,commercial,roof,without light,2022-11-07 05:08:09
478,indoor,industrial,wall,with light,2022-10-30 07:52:36
479,outdoor,residential,roof,with light,2022-12-12 09:26:41
480,outdoor,commercial,roof,without light,2022-07-15 15:39:12
481,outdoor,residential,roof,without light,2022-11-08 12:56:58
482,outdoor,residential,free standing,without light,2022-11-06 10:22:03
483,indoor,commercial,wall,with light,2022-12-05 03:55:40
484,outdoor,industrial,roof,with light,2022-10-10 15:42:52
485,outdoor,commercial,roof,without light,2023-01-21 17:53:43
486,indoor,commercial,wall,without light,2022-11-28 07:58:05
487,indoor,residential,roof,without light,2022-10-29 22:04:31
488,outdoor,residential,wall,with light,2022-03-20 04:52:22
489,indoor,industrial,wall,without light,2022-10-14 10:22:22
490,indoor,commercial,free standing,with light,2022-10-23 18:10:51
491,outdoor,commercial,free standing,with light,2023-03-18 09:06:26
492,outdoor,commercial,roof,without light,2022-12-27 18:54:58
493,indoor,industrial,roof,without light,2022-09-04 14:13:08
494,indoor,industrial,roof,with light,2022-12-23 06:44:29
495,indoor,industrial,wall,without light,2023-03-17 17:33:14
496,indoor,commercial,free standing,with light,2022-06-30 14:30:34
497,indoor,residential,roof,with light,2022-12-03 10:45:54
498,outdoor,residential,roof,with light,2022-04-10 03:49:02
499,indoor,industrial,roof,with light,2022-09-05 21:41:47
500,outdoor,residential,wall,with light,2022-10-21 23:54:19
501,indoor,industrial,roof,without light,2022-12-17 13:06:59
502,indoor,industrial,free standing,without light,2022-07-11 02:29:23
503,indoor,industrial,wall,with light,2022-06-24 04:38:32
504,indoor,industrial,wall,with light,2022-04-10 04:12:33
505,indoor,industrial,free standing,without light,2022-06-18 01:05:00
506,indoor,residential,wall,with light,2023-01-28 17:09:35
507,indoor,residential,roof,with light,2022-06-19 12:21:02
508,indoor,commercial,wall,without light,2023-03-16 23:49:29
509,outdoor,residential,wall,with light,2022-04-19 21:27:08
510,indoor,industrial,wall,without light,2022-04-14 18:23:27
511,indoor,commercial,roof,with light,2022-08-05 06:51:10
512,indoor,residential,free standing,without light,2022-12-26 22:41:30
513,outdoor,commercial,roof,with light,2023-01-30 13:44:45
514,indoor,residential,free standing,with light,2023-01-27 09:55:15
515,outdoor,residential,wall,without light,2022-05-10 00:43:59
516,indoor,residential,roof,with light,2022-08-27 09:19:54
517,outdoor,commercial,wall,with light,2023-03-17 06:25:50
518,indoor,industrial,wall,with light,2022-10-24 15:55:34
519,indoor,residential,wall,with light,2022-07-24 05:57:26
520,outdoor,commercial,roof,without light,2022-07-17 08:45:34
521,indoor,industrial,wall,without light,2022-09-03 08:15:17
522,indoor,residential,roof,without light,2022-05-14 10:09:18
523,outdoor,residential,wall,with light,2023-01-18 07:52:10
524,outdoor,residential,wall,with light,2022-07-24 00:12:23
525,outdoor,residential,wall,with light,2022-06-16 14:51:31
526,indoor,commercial,free standing,with light,2022-06-15 20:20:20
527,indoor,industrial,wall,without light,2022-04-03 11:41:01
528,indoor,industrial,roof,with light,2022-12-24 06:13:20
529,outdoor,industrial,free standing,without light,2022-04-19 18:51:48
530,indoor,industrial,free standing,without light,2022-09-28 16:34:19
531,indoor,residential,wall,with light,2023-03-14 19:51:01
532,indoor,commercial,free standing,without light,2023-01-11 04:08:38
533,indoor,residential,roof,with light,2022-12-15 03:54:29
534,outdoor,residential,roof,with light,2022-09-10 17:32:36
535,outdoor,residential,wall,with light,2023-03-04 20:39:05
536,indoor,commercial,roof,without light,2022-09-03 13:28:34
537,indoor,commercial,wall,with light,2023-01-18 08:41:32
538,outdoor,residential,roof,without light,2022-11-14 00:37:46
539,outdoor,residential,free standing,with light,2023-01-16 23:06:22
540,outdoor,industrial,wall,without light,2023-01-13 03:56:29
541,outdoor,commercial,wall,with light,2022-06-30 02:02:16
542,outdoor,residential,free standing,with light,2022-09-23 17:39:30
543,indoor,commercial,roof,without light,2022-10-19 13:25:39
544,indoor,industrial,roof,with light,2022-08-01 17:42:00
545,outdoor,residential,roof,without light,2023-02-26 21:01:40
546,outdoor,residential,wall,without light,2022-12-13 23:16:57
547,indoor,industrial,wall,without light,2023-02-25 11:20:28
548,outdoor,residential,wall,with light,2022-05-24 09:49:12
549,indoor,industrial,free standing,with light,2022-09-24 04:01:28
550,indoor,commercial,roof,without light,2023-01-17 04:24:40
551,outdoor,industrial,wall,with light,2022-04-30 14:51:01
552,indoor,commercial,free standing,with light,2022-11-27 21:20:33
553,outdoor,residential,wall,without light,2022-11-07 03:57:54
554,outdoor,industrial,wall,with light,2023-01-13 12:22:03
555,outdoor,commercial,roof,without light,2022-12-23 04:50:39
556,indoor,commercial,roof,without light,2022-10-31 04:35:20
557,outdoor,commercial,roof,with light,2022-11-10 05:14:49
558,indoor,commercial,free standing,with light,2022-06-13 02:28:39
559,indoor,residential,roof,without light,2023-03-07 06:52:32
560,outdoor,industrial,roof,without light,2023-02-07 04:31:23
561,indoor,industrial,free standing,without light,2022-08-03 23:05:46
562,indoor,industrial,wall,without light,2023-01-17 09:44:31
563,indoor,residential,free standing,without light,2022-03-19 10:21:22
564,outdoor,commercial,roof,without light,2022-06-20 15:08:40
565,indoor,commercial,roof,with light,2022-07-01 19:08:53
566,outdoor,industrial,free standing,with light,2023-02-26 00:38:46
567,outdoor,commercial,free standing,with light,2022-04-08 16:56:10
568,indoor,industrial,wall,with light,2022-08-27 13:19:39
569,outdoor,commercial,roof,without light,2022-06-09 23:54:46
570,indoor,commercial,free standing,with light,2022-08-31 23:23:25
571,indoor,industrial,free standing,with light,2022-08-22 14:56:59
572,outdoor,industrial,wall,without light,2022-10-16 23:08:09
573,outdoor,commercial,wall,with light,2022-05-31 19:59:41
574,indoor,industrial,free standing,without light,2022-11-12 11:08:20
575,indoor,industrial,wall,without light,2022-11-03 14:03:57
576,outdoor,commercial,free standing,with light,2023-01-22 01:07:19
577,outdoor,commercial,wall,with light,2022-12-12 01:14:03
578,outdoor,industrial,wall,without light,2023-01-05 03:33:25
579,indoor,industrial,roof,with light,2022-07-10 04:20:06
580,outdoor,residential,roof,with light,2022-09-12 03:12:48
581,outdoor,industrial,wall,with light,2022-10-20 03:02:09
582,indoor,commercial,wall,without light,2022-04-24 10:37:39
583,indoor,residential,roof,with light,2022-12-15 15:21:49
584,outdoor,industrial,roof,without light,2023-02-17 12:22:15
585,indoor,commercial,roof,with light,2022-07-13 22:04:02
586,outdoor,residential,roof,without light,2022-04-30 00:21:17
587,outdoor,industrial,roof,without light,2022-12-17 23:09:00
588,outdoor,industrial,free standing,with light,2022-11-07 11:08:49
589,outdoor,industrial,free standing,with light,2022-06-26 13:26:19
590,indoor,industrial,free standing,without light,2023-01-10 21:54:56
591,indoor,residential,free standing,with light,2022-06-26 05:34:08
592,outdoor,commercial,free standing,with light,2023-02-11 15:01:58
593,indoor,industrial,roof,with light,2022-10-17 12:27:24
594,outdoor,industrial,wall,without light,2022-07-28 00:25:54
595,indoor,residential,roof,with light,2022-05-07 14:35:42
596,outdoor,industrial,free standing,without light,2023-02-18 15:45:04
597,outdoor,commercial,free standing,with light,2022-07-28 06:21:36
598,indoor,industrial,wall,without light,2022-06-26 21:15:01
599,indoor,industrial,roof,without light,2023-01-21 04:52:46
600,outdoor,commercial,wall,with light,2022-10-14 09:10:25
601,indoor,residential,free standing,with light,2022-08-14 21:48:32
602,outdoor,commercial,roof,without light,2023-02-23 04:28:26
603,outdoor,residential,wall,with light,2023-03-05 19:12:50
604,indoor,residential,wall,without light,2023-02-19 09:15:36
605,indoor,commercial,roof,without light,2023-02-05 14:11:01
606,outdoor,commercial,free standing,with light,2022-03-27 06:10:03
607,indoor,industrial,wall,without light,2022-04-13 07:06:46
608,indoor,commercial,free standing,with light,2022-04-26 17:16:50
609,indoor,commercial,free standing,with light,2023-03-11 16:27:43
610,outdoor,residential,wall,without light,2022-08-15 23:48:01
611,indoor,industrial,free standing,with light,2022-08-15 01:38:58
612,outdoor,residential,wall,with light,2023-02-08 13:12:31
613,indoor,industrial,roof,with light,2023-01-14 04:23:11
614,outdoor,commercial,roof,with light,2022-10-16 06:45:55
615,outdoor,industrial,roof,without light,2022-05-18 12:04:53
616,outdoor,residential,wall,with light,2022-11-11 13:30:39
617,indoor,residential,wall,with light,2022-05-25 18:49:01
618,outdoor,industrial,free standing,without light,2022-12-08 17:47:32
619,indoor,commercial,free standing,without light,2022-06-30 08:29:59
620,outdoor,industrial,roof,without light,2022-12-26 14:08:06
621,indoor,industrial,free standing,without light,2022-10-12 15:45:00
622,outdoor,industrial,roof,without light,2023-02-19 14:22:50
623,indoor,residential,roof,with light,2022-06-20 09:32:48
624,outdoor,commercial,wall,with light,2022-10-23 15:13:32
625,outdoor,commercial,free standing,with light,2023-03-12 02:10:07
626,outdoor,industrial,wall,with light,2022-03-21 05:28:07
627,indoor,industrial,wall,without light,2022-04-20 19:58:19
628,indoor,industrial,free standing,with light,2023-02-19 00:42:16
629,indoor,industrial,free standing,with light,2022-05-24 14:46:55
630,outdoor,residential,wall,with light,2022-05-13 07:16:55
631,indoor,commercial,free standing,with light,2022-08-03 01:16:19
632,outdoor,residential,roof,without light,2022-11-24 09:44:55
633,indoor,industrial,wall,without light,2022-07-26 00:36:43
634,indoor,industrial,free standing,without light,2022-07-16 14:36:16
635,indoor,commercial,wall,with light,2023-03-01 18:39:24
636,indoor,commercial,free standing,with light,2022-07-07 21:46:10
637,outdoor,industrial,roof,with light,2022-12-12 16:50:06
638,outdoor,industrial,free standing,without light,2022-10-10 14:25:16
639,outdoor,industrial,wall,without light,2022-12-21 02:13:16
640,indoor,residential,roof,with light,2022-08-13 03:22:31
641,indoor,commercial,free standing,with light,2022-09-09 14:43:32
642,indoor,residential,wall,with light,2022-10-29 09:28:40
643,indoor,commercial,roof,without light,2022-08-31 16:47:41
644,outdoor,industrial,free standing,with light,2022-07-07 21:57:15
645,outdoor,residential,roof,without light,2022-08-23 19:18:15
646,indoor,industrial,wall,with light,2022-06-22 08:04:43
647,outdoor,industrial,wall,with light,2022-04-09 06:15:25
648,outdoor,industrial,wall,without light,2023-01-03 15:26:47
649,indoor,commercial,free standing,with light,2023-01-13 07:58:02
650,indoor,residential,free standing,without light,2022-06-17 22:16:17
651,indoor,commercial,wall,without light,2022-11-06 04:27:11
652,outdoor,commercial,roof,without light,2023-01-26 19:36:33
653,indoor,residential,free standing,with light,2022-03-28 11:09:09
654,outdoor,residential,wall,without light,2022-03-26 13:36:48
655,indoor,residential,free standing,without light,2022-08-21 15:01:13
656,indoor,industrial,roof,without light,2022-06-29 12:59:19
657,outdoor,residential,roof,without light,2023-01-13 14:34:57
658,outdoor,commercial,free standing,without light,2022-05-29 08:24:37
659,outdoor,commercial,roof,without light,2023-01-08 20:19:57
660,indoor,commercial,free standing,with light,2022-12-10 22:47:18
661,outdoor,residential,wall,with light,2022-04-11 18:44:15
662,indoor,industrial,roof,without light,2022-03-30 09:23:44
663,outdoor,residential,wall,with light,2022-03-24 04:34:54
664,indoor,industrial,wall,without light,2022-07-07 20:26:25
665,outdoor,residential,free standing,without light,2022-08-21 16:38:23
666,indoor,industrial,wall,with light,2023-02-14 21:54:48
667,indoor,residential,free standing,without light,2022-09-30 03:42:04
668,indoor,residential,roof,without light,2022-04-30 08:12:45
669,outdoor,commercial,wall,without light,2022-06-07 19:07:44
670,outdoor,industrial,wall,without light,2023-03-12 16:49:50
671,indoor,commercial,wall,without light,2023-03-07 03:59:41
672,indoor,commercial,roof,with light,2023-03-07 21:57:07
673,indoor,commercial,free standing,without light,2022-12-08 00:49:09
674,outdoor,commercial,free standing,without light,2022-08-20 01:42:56
675,indoor,residential,roof,with light,2022-04-07 16:18:09
676,outdoor,industrial,roof,with light,2022-11-18 08:30:03
677,indoor,commercial,free standing,without light,2023-02-03 04:25:16
678,indoor,industrial,wall,without light,2022-07-07 22:50:40
679,outdoor,residential,roof,with light,2022-12-12 07:43:00
680,indoor,industrial,roof,without light,2022-07-20 01:44:01
681,outdoor,commercial,free standing,without light,2022-04-16 19:53:58
682,outdoor,industrial,free standing,without light,2023-01-15 09:46:03
683,indoor,residential,roof,without light,2023-02-18 02:19:20
684,indoor,industrial,wall,with light,2023-01-06 06:08:19
685,indoor,commercial,wall,without light,2022-09-14 09:31:03
686,outdoor,commercial,wall,without light,2022-04-04 02:12:47
687,outdoor,residential,roof,without light,2022-08-29 17:16:01
688,indoor,commercial,roof,without light,2022-05-16 07:27:11
689,outdoor,residential,roof,with light,2022-06-16 06:16:44
690,outdoor,commercial,roof,without light,2023-02-03 18:41:27
691,indoor,commercial,wall,without light,2022-09-05 10:45:45
692,outdoor,residential,free standing,without light,2022-07-02 09:29:38
693,indoor,residential,roof,with light,2022-03-26 17:24:01
694,outdoor,commercial,roof,without light,2022-06-07 20:17:57
695,outdoor,industrial,roof,with light,2022-07-06 04:54:57
696,outdoor,industrial,wall,without light,2022-12-18 03:18:08
697,indoor,residential,roof,with light,2022-09-09 18:24:34
698,indoor,residential,roof,without light,2023-01-10 09:19:45
699,outdoor,commercial,free standing,with light,2022-06-25 16:14:37
700,indoor,residential,roof,with light,2022-11-01 17:16:16
701,outdoor,residential,free standing,without light,2022-11-23 20:47:17
702,outdoor,commercial,roof,with light,2022-11-05 03:21:51
703,outdoor,industrial,roof,with light,2022-11-17 16:52:27
704,outdoor,residential,roof,without light,2022-10-30 15:21:09
705,indoor,residential,free standing,with light,2022-11-27 13:12:10
706,outdoor,industrial,wall,without light,2022-06-07 02:49:16
707,outdoor,commercial,roof,without light,2022-12-23 09:33:49
708,outdoor,industrial,free standing,without light,2022-09-16 19:22:23
709,indoor,commercial,roof,without light,2022-07-30 18:40:36
710,indoor,commercial,wall,with light,2022-08-29 14:19:15
711,indoor,commercial,roof,with light,2022-11-04 17:43:56
712,outdoor,industrial,free standing,with light,2022-08-05 18:32:51
713,outdoor,industrial,wall,without light,2022-09-02 07:17:53
714,outdoor,residential,roof,with light,2022-03-23 00:39:50
715,outdoor,industrial,roof,with light,2022-11-23 05:17:31
716,outdoor,residential,roof,without light,2022-10-24 19:33:59
717,outdoor,commercial,roof,without light,2022-10-22 07:37:08
718,outdoor,industrial,roof,without light,2022-08-16 18:40:40
719,indoor,industrial,roof,without light,2022-11-10 16:15:09
720,indoor,industrial,roof,without light,2022-10-10 03:11:47
721,indoor,residential,roof,without light,2022-09-23 21:04:19
722,outdoor,industrial,roof,with light,2023-01-11 05:15:38
723,outdoor,industrial,roof,with light,2023-02-01 04:43:26
724,outdoor,residential,roof,without light,2022-12-04 00:49:06
725,outdoor,industrial,roof,without light,2023-01-27 18:13:45
726,outdoor,commercial,roof,without light,2022-07-22 08:20:14
727,indoor,residential,wall,with light,2022-10-25 12:46:45
728,indoor,residential,free standing,with light,2023-01-06 03:25:27
729,outdoor,industrial,free standing,with light,2022-09-03 03:15:41
730,indoor,commercial,free standing,without light,2022-10-28 13:59:54
731,indoor,commercial,wall,with light,2022-07-08 13:24:43
732,indoor,industrial,roof,with light,2023-01-14 05:35:29
733,outdoor,industrial,wall,without light,2023-01-29 19:34:14
734,outdoor,residential,roof,with light,2023-02-11 23:32:07
735,outdoor,residential,roof,with light,2022-09-28 16:02:57
736,indoor,commercial,wall,with light,2022-06-01 16:57:35
737,indoor,commercial,free standing,without light,2022-11-18 10:05:54
738,outdoor,commercial,free standing,with light,2022-05-03 01:53:07
739,indoor,industrial,free standing,without light,2023-03-09 07:59:43
740,outdoor,residential,wall,with light,2022-11-24 04:37:26
741,indoor,residential,wall,without light,2022-12-31 10:30:12
742,outdoor,industrial,roof,without light,2022-12-17 18:52:38
743,indoor,industrial,roof,with light,2022-06-05 10:40:16
744,indoor,industrial,roof,with light,2022-10-10 13:00:45
745,outdoor,industrial,wall,without light,2022-10-18 13:19:58
746,indoor,residential,free standing,with light,2022-09-09 14:49:45
747,outdoor,residential,roof,with light,2022-04-16 16:17:23
748,outdoor,commercial,free standing,without light,2022-09-03 12:30:46
749,indoor,residential,free standing,without light,2022-03-24 14:26:59
750,indoor,commercial,wall,with light,2022-10-12 02:13:58
751,indoor,commercial,wall,with light,2022-11-14 14:25:29
752,indoor,commercial,roof,without light,2022-09-28 10:39:34
753,outdoor,industrial,free standing,with light,2023-02-11 23:38:09
754,outdoor,commercial,free standing,without light,2022-04-06 04:26:50
755,indoor,residential,roof,with light,2022-10-24 14:22:22
756,indoor,industrial,free standing,with light,2023-01-03 16:36:47
757,outdoor,residential,wall,with light,2023-02-11 07:44:43
758,indoor,commercial,wall,without light,2022-06-26 23:59:55
759,outdoor,industrial,wall,with light,2022-04-11 03:30:18
760,indoor,industrial,wall,without light,2023-02-27 23:46:58
761,indoor,residential,roof,with light,2022-09-08 20:25:45
762,outdoor,residential,free standing,without light,2022-09-28 19:49:59
763,outdoor,industrial,roof,with light,2022-10-08 10:32:31
764,indoor,residential,wall,with light,2023-03-09 09:52:28
765,outdoor,residential,free standing,without light,2022-06-27 08:21:21
766,indoor,industrial,free standing,without light,2022-12-02 23:17:23
767,outdoor,industrial,roof,without light,2022-06-30 17:43:25
768,indoor,industrial,roof,without light,2022-05-17 16:18:06
769,outdoor,commercial,wall,without light,2022-04-10 04:32:12
770,outdoor,industrial,wall,with light,2023-01-28 05:39:54
771,outdoor,commercial,roof,with light,2022-06-23 20:19:58
772,outdoor,residential,wall,with light,2022-10-01 19:49:15
773,indoor,residential,free standing,with light,2022-11-30 22:42:50
774,indoor,residential,wall,without light,2022-05-23 01:41:24
775,outdoor,commercial,roof,with light,2022-12-13 11:44:35
776,outdoor,industrial,free standing,with light,2023-02-20 17:34:26
777,outdoor,industrial,roof,with light,2023-02-07 09:40:31
778,outdoor,industrial,free standing,with light,2022-06-06 16:24:11
779,outdoor,commercial,wall,without light,2023-01-19 20:00:22
780,outdoor,residential,wall,with light,2022-11-17 02:43:06
781,outdoor,commercial,wall,without light,2022-06-06 08:41:46
782,indoor,commercial,roof,with light,2022-05-03 19:11:35
783,indoor,residential,wall,without light,2022-10-20 03:44:00
784,indoor,commercial,roof,without light,2023-02-25 03:15:59
785,outdoor,industrial,wall,with light,2023-01-13 16:24:30
786,outdoor,commercial,roof,without light,2022-03-31 05:35:29
787,outdoor,industrial,wall,without light,2022-09-18 10:35:18
788,indoor,industrial,wall,without light,2022-09-19 22:25:30
789,outdoor,industrial,roof,with light,2022-05-06 07:58:41
790,indoor,residential,roof,without light,2022-10-28 16:53:15
791,indoor,residential,wall,with light,2023-01-19 01:17:29
792,indoor,industrial,wall,without light,2023-01-20 16:06:01
793,indoor,industrial,roof,without light,2022-08-14 10:32:33
794,indoor,residential,roof,without light,2022-07-16 23:57:36
795,indoor,industrial,roof,with light,2022-04-14 20:49:35
796,indoor,industrial,free standing,without light,2022-11-23 21:54:25
797,outdoor,commercial,free standing,without light,2022-10-25 23:12:07
798,outdoor,industrial,roof,without light,2022-09-03 04:08:48
799,indoor,commercial,roof,with light,2023-03-09 18:22:50
800,indoor,commercial,wall,without light,2023-01-05 13:11:50
801,outdoor,commercial,wall,without light,2022-05-11 23:10:50
802,indoor,commercial,roof,without light,2022-04-05 09:13:13
803,indoor,residential,free standing,with light,2023-03-10 22:13:28
804,outdoor,residential,free standing,with light,2023-03-08 05:57:14
805,outdoor,industrial,roof,without light,2023-03-04 23:25:07
806,indoor,residential,free standing,without light,2023-01-28 16:22:06
807,outdoor,commercial,wall,without light,2022-04-28 06:51:30
808,indoor,commercial,free standing,with light,2022-12-30 23:00:24
809,indoor,commercial,wall,with light,2022-06-15 02:38:07
810,indoor,residential,wall,with light,2022-09-30 11:42:09
811,indoor,residential,wall,without light,2022-05-03 15:13:10
812,outdoor,residential,free standing,without light,2022-12-21 11:34:45
813,outdoor,commercial,wall,without light,2022-07-18 22:34:19
814,outdoor,residential,free standing,without light,2022-06-19 19:11:56
815,indoor,residential,roof,without light,2022-11-18 00:21:11
816,indoor,residential,free standing,with light,2023-01-20 07:07:11
817,outdoor,industrial,wall,with light,2022-10-05 10:17:15
818,indoor,industrial,free standing,without light,2022-08-28 02:12:09
819,outdoor,residential,free standing,with light,2022-11-23 04:51:18
820,indoor,residential,free standing,with light,2022-12-12 21:55:48
821,indoor,residential,free standing,with light,2022-04-18 20:49:02
822,indoor,commercial,wall,without light,2022-06-09 22:47:20
823,outdoor,commercial,roof,without light,2022-05-01 09:36:38
824,outdoor,commercial,roof,with light,2022-06-11 03:04:54
825,indoor,residential,free standing,with light,2022-09-10 01:33:59
826,indoor,industrial,free standing,with light,2022-08-20 05:43:34
827,indoor,residential,free standing,without light,2023-02-11 16:10:44
828,indoor,residential,free standing,without light,2023-03-17 22:00:27
829,indoor,residential,free standing,without light,2022-11-04 17:49:09
830,outdoor,industrial,roof,with light,2022-04-22 18:25:30
831,indoor,residential,wall,with light,2022-11-13 05:19:51
832,outdoor,commercial,roof,without light,2022-07-14 13:12:53
833,indoor,commercial,roof,without light,2022-09-10 21:25:44
834,indoor,residential,roof,with light,2022-05-02 16:27:41
835,outdoor,industrial,roof,with light,2022-03-23 06:45:41
836,indoor,industrial,free standing,with light,2022-07-01 12:53:58
837,outdoor,industrial,roof,with light,2022-10-24 05:49:30
838,outdoor,commercial,roof,without light,2022-10-18 19:57:34
839,outdoor,residential,wall,with light,2022-09-01 08:07:01
840,outdoor,commercial,roof,with light,2022-12-01 09:30:26
841,indoor,industrial,roof,without light,2022-10-27 03:54:00
842,indoor,residential,free standing,with light,2022-12-31 05:13:02
843,indoor,industrial,free standing,without light,2023-03-13 04:35:05
844,indoor,residential,roof,with light,2022-10-06 23:29:56
845,indoor,residential,free standing,without light,2022-09-17 16:20:05
846,indoor,industrial,wall,with light,2022-05-30 03:12:45
847,outdoor,industrial,wall,with light,2023-03-09 07:49:41
848,outdoor,commercial,free standing,without light,2023-01-13 21:21:20
849,indoor,industrial,free standing,without light,2023-02-19 04:12:36
850,outdoor,commercial,wall,with light,2022-12-15 00:40:53
851,indoor,residential,free standing,with light,2023-01-02 06:51:02
852,indoor,residential,free standing,without light,2022-03-28 17:55:00
853,outdoor,residential,free standing,with light,2023-02-12 01:04:05
854,outdoor,residential,roof,without light,2022-11-28 13:57:16
855,indoor,residential,wall,with light,2022-07-21 00:10:56
856,outdoor,residential,roof,with light,2023-01-17 04:00:22
857,outdoor,commercial,roof,without light,2023-03-02 23:55:26
858,indoor,industrial,roof,with light,2022-07-14 18:02:38
859,outdoor,industrial,free standing,without light,2022-04-24 04:23:11
860,indoor,industrial,wall,with light,2023-03-18 08:06:21
861,indoor,industrial,wall,with light,2023-01-07 13:00:37
862,outdoor,residential,wall,without light,2023-01-30 14:39:27
863,outdoor,residential,roof,with light,2023-03-05 03:59:53
864,outdoor,industrial,free standing,with light,2023-03-14 10:16:26
865,indoor,commercial,roof,without light,2022-10-10 11:57:30
866,outdoor,residential,free standing,without light,2023-03-05 10:04:23
867,outdoor,commercial,free standing,with light,2022-09-24 11:20:31
868,indoor,industrial,free standing,without light,2022-12-16 18:47:55
869,outdoor,commercial,wall,with light,2022-07-07 19:20:20
870,indoor,residential,roof,with light,2022-12-01 17:56:35
871,indoor,residential,roof,with light,2022-11-01 05:14:37
872,indoor,commercial,free standing,without light,2022-12-26 03:45:43
873,indoor,commercial,free standing,without light,2022-03-27 14:56:47
874,indoor,commercial,free standing,without light,2022-10-24 12:48:47
875,outdoor,industrial,roof,without light,2022-10-06 07:14:17
876,outdoor,commercial,wall,with light,2022-12-12 11:37:19
877,indoor,commercial,free standing,with light,2022-04-21 21:42:02
878,outdoor,industrial,roof,with light,2022-06-24 15:03:12
879,outdoor,commercial,wall,without light,2022-10-06 17:44:22
880,indoor,industrial,wall,with light,2022-06-02 15:12:27
881,outdoor,residential,wall,without light,2022-08-17 17:16:28
882,indoor,commercial,roof,with light,2022-06-04 18:29:33
883,indoor,industrial,wall,with light,2022-09-06 07:31:01
884,outdoor,commercial,wall,with light,2022-06-09 00:41:40
885,outdoor,residential,roof,without light,2022-08-08 21:05:49
886,indoor,industrial,roof,with light,2022-06-16 19:45:08
887,outdoor,industrial,wall,without light,2022-07-20 05:23:51
888,indoor,residential,roof,with light,2022-07-03 04:46:37
889,outdoor,residential,roof,without light,2022-12-08 10:57:45
890,indoor,residential,wall,without light,2022-06-11 07:25:44
891,indoor,commercial,wall,with light,2022-06-07 00:39:48
892,outdoor,commercial,free standing,with light,2023-02-13 07:43:20
893,outdoor,commercial,wall,with light,2023-02-13 08:43:38
894,indoor,industrial,free standing,with light,2022-06-04 14:01:13
895,outdoor,commercial,wall,with light,2022-06-16 20:10:55
896,outdoor,industrial,roof,without light,2022-05-03 10:07:34
897,indoor,residential,free standing,with light,2022-08-04 16:29:36
898,indoor,industrial,wall,without light,2022-05-08 17:40:25
899,indoor,commercial,roof,with light,2023-01-04 09:01:18
900,outdoor,commercial,free standing,with light,2022-05-25 05:17:37
901,outdoor,residential,wall,with light,2023-02-19 20:22:04
902,outdoor,commercial,roof,with light,2023-01-21 15:02:55
903,indoor,industrial,roof,with light,2023-01-16 10:31:21
904,outdoor,residential,free standing,without light,2022-04-18 12:41:26
905,indoor,commercial,free standing,with light,2022-06-22 13:54:42
906,outdoor,industrial,roof,without light,2022-05-14 07:20:23
907,outdoor,residential,roof,without light,2022-07-08 21:27:44
908,outdoor,industrial,free standing,without light,2022-09-16 23:19:36
909,indoor,industrial,free standing,with light,2023-02-24 11:27:24
910,indoor,residential,roof,without light,2022-07-02 08:00:14
911,outdoor,industrial,wall,with light,2022-09-29 00:52:02
912,outdoor,residential,roof,without light,2023-02-26 07:44:33
913,indoor,industrial,roof,with light,2022-06-26 05:12:55
914,outdoor,commercial,roof,with light,2023-02-18 23:52:42
915,indoor,residential,wall,with light,2022-08-30 04:27:38
916,indoor,residential,free standing,without light,2022-12-13 08:40:01
917,outdoor,residential,free standing,without light,2023-02-19 23:33:42
918,outdoor,commercial,roof,with light,2022-05-20 05:28:58
919,indoor,industrial,free standing,with light,2023-02-18 12:55:11
920,indoor,residential,free standing,with light,2022-09-23 05:03:58
921,outdoor,residential,roof,with light,2022-12-30 16:05:26
922,indoor,residential,roof,without light,2022-10-28 15:42:26
923,outdoor,residential,roof,with light,2022-11-02 21:44:04
924,outdoor,commercial,wall,with light,2023-03-05 22:27:38
925,indoor,residential,roof,with light,2022-11-25 04:46:44
926,outdoor,industrial,free standing,with light,2022-06-02 14:46:49
927,indoor,residential,wall,with light,2023-01-03 02:47:12
928,outdoor,industrial,wall,with light,2022-12-14 08:49:08
929,outdoor,industrial,free standing,without light,2022-11-06 01:45:34
930,outdoor,residential,free standing,with light,2022-09-25 09:55:22
931,indoor,commercial,wall,with light,2022-04-30 07:26:32
932,outdoor,industrial,roof,with light,2022-04-23 11:48:31
933,outdoor,residential,free standing,with light,2023-01-20 18:21:19
934,outdoor,industrial,free standing,with light,2022-03-20 14:48:22
935,outdoor,industrial,free standing,with light,2022-12-03 12:00:13
936,outdoor,industrial,wall,with light,2022-10-20 15:11:47
937,indoor,industrial,free standing,without light,2023-01-09 12:31:59
938,indoor,industrial,wall,with light,2022-09-28 01:58:50
939,outdoor,industrial,roof,with light,2022-07-18 13:47:58
940,indoor,residential,wall,with light,2023-01-06 00:17:40
941,indoor,commercial,roof,with light,2022-12-28 21:21:28
942,indoor,industrial,roof,with light,2022-11-20 22:53:31
943,indoor,industrial,free standing,without light,2022-08-21 23:56:50
944,indoor,industrial,roof,with light,2022-07-13 16:43:20
945,indoor,residential,free standing,without light,2022-09-03 12:10:42
946,indoor,commercial,roof,without light,2022-08-14 03:53:20
947,indoor,residential,roof,with light,2022-11-01 20:35:59
